电影名称,类型,上映日期,评价数,评分,主演
福尔摩斯二世,"喜剧,动作,爱情",1924-04-21,22619,9.5,"巴斯特·基顿,凯瑟琳·麦奎尔,乔·基顿,Ward Crane,Jane Connelly,George Davis,Doris Deane,Betsy Ann Hisle,丘比·摩根,John Patrick,Ford West"
这个杀手不太冷,"剧情,动作,犯罪",1994-09-14,2145197,9.4,"让·雷诺,娜塔莉·波特曼,加里·奥德曼,丹尼·爱罗,彼得·阿佩尔,迈克尔·巴达鲁科,艾伦·格里尼,伊丽莎白·瑞根,卡尔·马图斯维奇,弗兰克·赛格,麦温,乔治·马丁,罗伯特·拉萨多,亚当·布斯奇,马里奥·托迪斯科,萨米·纳塞利,让·雨果·安格拉德,埃莱娜·卡多纳,沈晓谦,大塚明夫,Keith A. Glascoe"
切腹,"剧情,动作,悬疑",1962-09-16,38463,9.4,"仲代达矢,石浜朗,岩下志麻,丹波哲郎,三岛雅夫,中谷一郎,佐藤庆,稻叶义男,井川比佐志,武内亨,青木义朗,松村达雄,小林昭二,富田仲次郎,结城一朗,三国连太郎"
指环王3：王者无敌,"剧情,动作,奇幻,冒险",2004-03-12,739567,9.3,"伊利亚·伍德,西恩·奥斯汀,维果·莫腾森,奥兰多·布鲁姆,伊恩·麦克莱恩,肖恩·宾,多米尼克·莫纳汉,丽芙·泰勒,约翰·贝西,凯特·布兰切特,比利·博伊德,萨德文·布罗菲,阿利斯泰尔·布朗宁,马尔顿·索克斯,伯纳德·希尔,伊安·霍姆,布鲁斯·霍普金斯,Ian Hughes,劳伦斯·马克奥雷,诺埃尔·阿普利比,布雷特·麦肯齐,Alexandra Astin,Sarah McLeod,Maisy McLeod-Riera,约翰·诺贝尔,Paul Norell,米兰达·奥图,布鲁斯·菲利普斯,沙恩·朗吉,约翰·瑞斯-戴维斯,Todd Rippon,安迪·瑟金斯,Harry Sinclair,乔尔·托贝克,卡尔·厄本,史蒂芬·乌瑞,雨果·维文,大卫·文翰,阿兰·霍华德,萨拉·贝克,Robert Pollock,佩特·史密斯,杰德·布罗菲,菲利普·格里夫,布拉德·道里夫,克里斯托弗·李,布鲁斯·斯宾斯,吉诺·阿赛维多,Jarl Benzon,Jørn Benzon,Robert Catto,Michael Elsworth,彼得·杰克逊,Sandro Kopp,安德鲁·莱斯尼,约瑟夫·米卡-亨特,亨利·莫腾森,克雷格·帕克,克里斯蒂安·瑞沃斯,迈克尔·斯曼内科 ,霍华德·肖,约翰·斯蒂芬森,理查德·泰勒,张磊,姜广涛,周志强,金永钢"
七武士,"动作,冒险,剧情",1954-04-26,180092,9.3,"三船敏郎,志村乔,津岛惠子,岛崎雪子,藤原釜足,加东大介,木村功,千秋实,宫口精二,小杉义男,左卜全,稻叶义男,土屋嘉男,高堂国典,东野英治郎,上田吉二郎,多多良纯,渡边笃,小川虎之助,山形勋,上山草人,清水元,高木新平,大友伸,高原骏雄,稻垣三郎,堺左千夫,千石规子,本间文子,大久保正信,伊藤实,大村千吉,广濑正一,宇野晃司,谷晃,中岛春雄,清水美恵,熊谷卓三,夏木顺平,岩本弘司,堤康久,马野都留子,森今日子,加藤武,仲代达矢,宇津井健,山本廉,东静子"
少年骇客：变身之谜,"动作,科幻,动画,冒险",2007-08-10,1273,9.3,"塔拉·斯特朗,梅根·史密斯,保罗·伊丁,吉姆·瓦德,戴夫·维滕博格,Claudia Schmidt,德怀特·舒尔茨,瓦内萨·马歇尔,理查德·麦克格纳格尔,理查德·史蒂文·霍维茨,史蒂夫·布卢姆,迪·布拉雷·贝克尔,罗伯特·大卫·豪尔"
蝙蝠侠：黑暗骑士,"剧情,动作,科幻,犯罪,惊悚",2008-07-14,977828,9.2,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,迈克尔·凯恩,玛吉·吉伦哈尔,加里·奥德曼,摩根·弗里曼,莫尼克·加布里埃拉·库尔内,罗恩·迪恩,基里安·墨菲,黄经汉,内斯特·卡博内尔,埃里克·罗伯茨,里特奇·科斯特,安东尼·迈克尔·豪尔,基斯·斯扎拉巴基克,柯林·麦克法兰,约书亚·哈尔托,美琳达·麦格劳,内森·甘宝,迈克尔·维约,迈克尔·斯托扬诺夫,威廉·斯米利,丹尼·高德林,迈克尔·加·怀特,马修·奥尼尔,威廉·菲克纳,欧鲁米基·欧拉乌米,格雷格·比姆,爱利克·赫尔曼,毕崔斯·罗森,文森佐·尼克力,陈冠希,亚当·卡莱佩里斯,罗南·萨莫尔斯,玛丽扎·卡布蕾拉,Tina Simmons,大卫·达斯马齐连,利萨·麦克阿里斯特,理查德·迪兰"
指环王2：双塔奇兵,"剧情,动作,奇幻,冒险",2003-04-25,690837,9.2,"伊利亚·伍德,西恩·奥斯汀,多米尼克·莫纳汉,奥兰多·布鲁姆,维果·莫腾森,伊恩·麦克莱恩,凯特·布兰切特,比利·博伊德,杰德·布罗菲,丽芙·泰勒,安迪·瑟金斯,米兰达·奥图,雨果·维文,布拉德·道里夫,卡卢姆·吉廷斯,伯纳德·希尔,布鲁斯·霍普金斯,克里斯托弗·李,纳撒尼尔·利斯,罗宾·马尔科姆,约翰·贝西,萨拉·贝克,克雷格·帕克,布鲁斯·菲利普斯,Robert Pollock,约翰·瑞斯-戴维斯,奥利维亚·田內,卡尔·厄本,史蒂芬·乌瑞,大卫·文翰,菲利普·格里夫,肖恩·宾,约翰·诺贝尔,Jarl Benzon,Jørn Benzon,Ben Britton,阿利斯泰尔·布朗宁,Sean Button,Robert Catto,罗德尼·库克,卡尔洛斯·德林克沃特,西奥沙福瓦,本·弗兰舍姆,Jonathan Harding,Lucas Hayward,丹·汉纳,保罗·霍姆斯,杰森霍德,彼得·杰克逊,Sam Kelly,Sandro Kopp,姜广涛,张磊,陆建艺,金永钢,劳伦斯·马克奥雷,布鲁克·奥佩斯,周志强"
鬼灭之刃 那田蜘蛛山篇,"剧情,动作,奇幻",2020-10-17,15094,9.2,"花江夏树,鬼头明里,下野纮,松冈祯丞"
赛文奥特曼 我是地球人,"动作,科幻",1999-12-31,2346,9.2,"山崎胜之,佐原健二,鹈川薰,足立理绘子,森次晃嗣,南条弘二"
